"","Film","Genre","Lead.Studio","Audience..score..","Profitability","Rotten.Tomatoes..","Worldwide.Gross","Year","agg_score"
"1","27 Dresses","Comedy","Fox",71,5.3436218,40,160.308654,2008,55.5
"2","(500) Days of Summer","Comedy","Fox",81,8.096,87,60.72,2009,84
"3","A Dangerous Method","Drama","Independent",89,0.44864475,79,8.972895,2011,84
"4","A Serious Man","Drama","Universal",64,4.382857143,89,30.68,2009,76.5
"5","Across the Universe","Romance","Independent",84,0.652603178,54,29.367143,2007,69
"6","Beginners","Comedy","Independent",80,4.471875,84,14.31,2011,82
"7","Dear John","Drama","Sony",66,4.5988,29,114.97,2010,47.5
"8","Enchanted","Comedy","Disney",80,4.005737082,93,340.487652,2007,86.5
"9","Fireproof","Drama","Independent",51,66.934,40,33.467,2008,45.5
"10","Four Christmases","Comedy","Warner Bros.",52,2.022925,26,161.834,2008,39
"11","Ghosts of Girlfriends Past","Comedy","Warner Bros.",47,2.0444,27,102.22,2009,37
"12","Gnomeo and Juliet","Animation","Disney",52,5.387972222,56,193.967,2011,54
"13","Going the Distance","Comedy","Warner Bros.",56,1.3140625,53,42.05,2010,54.5
"14","Good Luck Chuck","Comedy","Lionsgate",61,2.36768512,3,59.192128,2007,32
"15","He's Just Not That Into You","Comedy","Warner Bros.",60,7.1536,42,178.84,2009,51
"16","High School Musical 3: Senior Year","Comedy","Disney",76,22.91313646,65,252.044501,2008,70.5
"17","I Love You Phillip Morris","Comedy","Independent",57,1.34,71,20.1,2010,64
"18","It's Complicated","Comedy","Universal",63,2.642352941,56,224.6,2009,59.5
"20","Just Wright","Comedy","Fox",58,1.797416667,45,21.569,2010,51.5
"21","Killers","Action","Lionsgate",45,1.245333333,11,93.4,2010,28
"22","Knocked Up","Comedy","Universal",83,6.636401848,91,219.001261,2007,87
"23","Leap Year","Comedy","Universal",49,1.715263158,21,32.59,2010,35
"24","Letters to Juliet","Comedy","Summit",62,2.639333333,40,79.18,2010,51
